"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日成交量週轉率(%)","2日累計成交量週轉率","3日累計成交量週轉率","5日累計成交量週轉率","10日累計成交量週轉率","1個月累計成交量週轉率","3個月累計成交量週轉率","半年累計成交量週轉率","今年累計成交量週轉率","1年累計成交量週轉率","2年累計成交量週轉率","3年累計成交量週轉率"
"1","00859B","群益0-1年美債","41.32","+0.02","+0.05","12/05","35.1","73.8","108","185","358","763","2033","2391","2588","2615","3104","3639"
"2",="5392","能率","51","+0.7","+1.39","12/05","32.2","44.8","45.6","48","54.5","79.3","523","760","1060","1190","1655","1737"
"3",="2365","昆盈","38.65","+1.65","+4.46","12/05","24.7","27.1","27.6","28.3","30.7","39.6","89.7","473","780","950","3395","3486"
"4",="3167","大量","221","+20","+9.95","12/05","24.5","36.2","38.8","51.5","95.4","340","555","2434","2747","2842","3949","3977"
"5",="8110","華東","39.6","+2","+5.32","12/05","17.8","26.9","44.3","106","132","296","546","570","607","611","873","995"
"6",="6215","和椿","113.5","+1","+0.89","12/05","16.7","19.7","20.2","21.4","27.4","48.8","182","955","2725","3220","5028","5187"
"7",="2359","所羅門","136.5","-2","-1.44","12/05","16.6","19.1","20.2","23.3","29.1","38.5","79.5","286","677","888","2682","3491"
"8",="3163","波若威","327","+9","+2.83","12/05","16.1","35.9","68.5","133","312","341","811","2080","4519","4589","7549","9994"
"9",="4903","聯光通","42.95","+3.9","+9.99","12/05","15.2","19.6","27.2","46.4","111","131","162","238","477","508","1532","1585"
"10",="8112","至上","75.1","+6.2","+9","12/05","14.8","16.3","18.9","22.2","40.6","193","365","404","438","448","880","1097"
"11",="8111","立碁","70.7","0","0","12/05","14.3","90.2","112","127","200","407","648","990","2151","2555","3598","3736"
"12",="2605","新興","28.4","-3.15","-9.98","12/05","14","19.9","24.9","34","44","51.1","86.3","116","206","215","714","1048"
"13",="8034","榮群","26.1","-2.9","-10","12/05","13.7","42.3","51.8","74.5","104","161","246","360","396","400","1484","2176"
"14",="3189","景碩","157","+9","+6.08","12/05","12.7","20.7","25.6","34","46.4","100","279","468","584","620","1041","1316"
"15",="2009","第一銅","45.85","-1.9","-3.98","12/05","12.5","21.9","23.7","33.8","36.4","45.5","143","178","310","313","738","900"
"16",="5284","jpp-KY","324","+16","+5.19","12/05","12.3","19.7","28.3","49.8","69.5","157","356","762","1036","1092","1654","2960"
"17",="2612","中航","69.5","-5.1","-6.84","12/05","12.3","13.7","17","25.4","34.2","42.8","85.6","128","179","181","304","485"
"18",="4939","亞電","36.95","-1.25","-3.27","12/05","11.6","29.3","147","228","395","473","575","601","612","614","870","929"
"19",="4979","華星光","239.5","+4","+1.7","12/05","10.9","23.5","55.8","88.1","218","296","689","1699","3403","3669","5644","8150"
"20",="0057","富邦摩台","184.3","+1.45","+0.79","12/05","10.9","11.7","12.9","14.8","19.3","46.4","140","408","561","583","935","1078"
"21",="6706","惠特","108.5","+1.5","+1.4","12/05","10.8","41.4","64.3","83.1","117","187","392","543","806","868","1951","2076"
"22",="8054","安國","147.5","-6.5","-4.22","12/05","10.6","31","41.6","55.7","102","189","457","978","1162","1350","3719","4443"
"23",="4510","高鋒","40.75","+0.75","+1.88","12/05","10.3","16.2","16.5","17","22.7","34","82.9","520","2002","2323","4067","4361"
"24",="8021","尖點","135","+2.5","+1.89","12/05","10.1","23.6","30.1","58.7","204","578","1683","2758","2792","2801","3133","3216"
"25",="3543","州巧","46.8","+2.8","+6.36","12/05","9.85","11","12.7","14.7","24.3","97.9","347","773","785","789","866","891"
"26",="3048","益登","40.3","-0.55","-1.35","12/05","9.52","17.3","19.4","21.3","30.8","61","169","217","238","243","682","725"
"27",="2369","菱生","22.35","+0.45","+2.05","12/05","9.33","12","12.6","13.6","17","51.2","135","177","198","202","589","891"
"28",="3535","晶彩科","89","-1.9","-2.09","12/05","9.01","18.7","43.3","89.6","112","144","563","1547","1749","1785","3873","4039"
"29",="8096","擎亞","51.2","+4.65","+9.99","12/05","8.89","10","12","14.5","24.5","174","516","670","1809","1852","5104","5193"
"30",="2399","映泰","25.05","+1","+4.16","12/05","8.86","18.2","20.8","22.1","32.4","67.6","217","258","389","478","2160","2877"
"31",="3530","晶相光","72.8","+0.1","+0.14","12/05","8.84","14.5","19.8","19.9","20.5","22.1","45.4","58.9","78.9","83.7","367","532"
"32",="8996","高力","529","-4","-0.75","12/05","8.36","15.5","23.3","34","54.4","87.2","303","638","820","862","2210","4025"
"33",="2406","國碩","23.35","0","0","12/05","8.17","16.6","18.9","20.5","29.6","40.4","105","227","268","274","651","757"
"34",="4533","協易機","23.65","+1.25","+5.58","12/05","8.12","10","10.2","10.8","15.5","19","33.3","80.3","191","223","1577","2410"
"35",="2481","強茂","89","+2.9","+3.37","12/05","8.02","10.3","14.9","31.4","63","149","499","631","679","684","847","1093"
"36",="2374","佳能","81.5","-1.9","-2.28","12/05","8","15.6","16.5","18.6","31.6","111","469","963","1344","1730","2545","2654"
"37","00668K","國泰美國道瓊+U","17.46","-0.02","-0.11","12/05","8","16","24","40","80","176","488","1008","1800","1944","3824","5752"
"38",="3551","世禾","176.5","+9","+5.37","12/05","8","11.9","13.3","14.1","16.6","28.7","120","460","694","747","1275","1332"
"39",="3450","聯鈞","260.5","+9","+3.58","12/05","7.97","22.5","35.9","46.3","97.7","177","740","1268","2667","2995","6153","6766"
"40",="6265","方土昶","19.7","+1.25","+6.78","12/05","7.97","14.3","28.9","44.8","54.3","120","217","236","260","262","578","630"
"41",="8431","匯鑽科","50.6","+2.3","+4.76","12/05","7.81","10.8","13.9","14.9","16.7","27.9","48.6","125","212","221","373","487"
"42",="2344","華邦電","61.8","+4","+6.92","12/05","7.64","13.1","16.2","21.4","43.4","78.8","360","454","625","636","801","964"
"43",="3354","律勝","20.8","-1.65","-7.35","12/05","7.5","10.3","11.1","12.2","13","15.2","18.1","34.8","73.7","80.4","575","619"
"44","00640L","富邦日本正2","75.4","-1.45","-1.89","12/05","7.5","12.1","13.3","22.6","34.3","113","429","779","1527","1581","4274","6126"
"45",="1815","富喬","83.4","+1","+1.21","12/05","7.17","12.6","25.2","57.3","116","402","966","2171","3144","3262","4531","4914"
"46","00657K","國泰日經225+U","18.94","-0.14","-0.73","12/05","6.9","13.8","20.7","34.5","69","152","421","879","1572","1697","3366","4979"
"47",="5608","四維航","18.85","-1.9","-9.16","12/05","6.75","10.6","11.8","16.3","22.7","29.3","59.9","93.7","213","217","478","844"
"48",="6291","沛亨","177","-1.5","-0.84","12/05","6.72","8.38","12.3","16.8","49.1","69.2","127","234","259","264","316","392"
"49",="8271","宇瞻","95.9","-3","-3.03","12/05","6.3","11.4","17.1","26.8","58","231","565","643","667","670","875","1070"
"50","00663L","國泰臺灣加權正2","44.45","+0.6","+1.37","12/05","6.1","9.84","15.5","28.5","64.6","178","452","902","908","909","932","952"
"51",="8234","新漢","78","+3.2","+4.28","12/05","6.06","10.4","10.6","11.1","14","22.6","72.2","495","981","1028","1366","1683"
"52","00981D","主動中信非投等債","10.58","-0.02","-0.19","12/05","5.95","18.9","27","42","52.4","77.5","","","202","","",""
"53","00684R","期元大美元指反1","15.59","+0.02","+0.13","12/05","5.9","10.6","13.7","17.2","25.1","32.8","51.6","152","353","358","426","453"
"54",="2606","裕民","63.2","-6.4","-9.2","12/05","5.87","7.61","9.01","13.4","21.9","28.6","53.3","101","269","290","532","770"
"55",="5328","華容","21.3","-1","-4.48","12/05","5.76","45.9","59.8","64","102","221","490","506","562","637","1044","1285"
"56",="6155","鈞寶","42.1","-0.95","-2.21","12/05","5.64","29.6","34.7","39.2","45.1","138","198","204","219","222","362","471"
"57","00847B","中信美國市政債","26.19","-0.03","-0.11","12/05","5.49","10.9","13","16.6","32.2","72.4","201","419","761","820","1630","2194"
"58",="5439","高技","338.5","+6","+1.8","12/05","5.46","12.1","26.4","62","112","218","482","1253","2478","2661","3384","4358"
"59",="4760","勤凱","189.5","-0.5","-0.26","12/05","5.43","25.6","36.7","44.4","62.9","131","246","475","518","523","989","1059"
"60",="3037","欣興","215","+16.5","+8.31","12/05","5.27","7.5","9.51","17.1","30.1","52","128","284","407","421","714","1099"
"61",="6739","竹陞科技","725","-28","-3.72","12/05","5.11","12.7","15.7","17.4","22.3","48.7","206","474","668","690","",""
"62",="3135","凌航","67.3","+4.2","+6.66","12/05","5.08","9.39","14.1","18.4","35.4","67.5","187","","228","","",""
"63",="3379","彬台","55.5","+0.1","+0.18","12/05","5.03","10.5","10.8","12.2","16","37.7","109","789","3956","4065","4755","4858"
"64",="6584","南俊國際","353.5","-5","-1.39","12/05","4.97","9.69","11.5","13.5","16.9","85.2","172","342","396","400","677",""
"65",="8039","台虹","77.8","-0.2","-0.26","12/05","4.81","20.2","41.1","90","139","187","379","501","601","609","940","964"
"66",="1560","中砂","342","+11","+3.32","12/05","4.67","9.01","12.8","15","20.6","33.9","130","318","460","476","1116","1748"
"67",="5340","建榮","65.9","+0.4","+0.61","12/05","4.62","10.5","37.2","55.9","59.2","128","179","361","404","407","543","773"
"68",="4967","十銓","132.5","+3.5","+2.71","12/05","4.58","7.79","14.4","30.7","63.2","369","987","1095","1325","1351","3517","5683"
"69",="4931","新盛力","167","-6","-3.47","12/05","4.58","52.9","87.8","195","238","357","803","3552","8493","9567","10404","11313"
"70",="6530","創威","65.6","+0.1","+0.15","12/05","4.57","13.2","40.9","49.8","95.6","107","208","670","982","1110","4930","6017"
"71",="2408","南亞科","153","+2","+1.32","12/05","4.55","8.94","15.4","22.5","47.9","139","343","512","760","770","892","975"
"72","00738U","期元大道瓊白銀","47.93","-0.35","-0.72","12/05","4.5","8.77","14.1","27.6","43.8","90.5","258","372","497","508","672","770"
"73",="8042","金山電","57.3","-0.6","-1.04","12/05","4.47","50.9","61.7","95.4","196","264","363","374","453","498","559","565"
"74",="6727","亞泰金屬","179","+16","+9.82","12/05","4.44","4.68","5.06","6.72","13.3","33.5","132","249","275","286","506","590"
"75",="6275","元山","51.2","+4.65","+9.99","12/05","4.36","4.97","5.43","5.83","6.34","9.26","24.8","42.3","85.8","88.6","812","1258"
"76",="3025","星通","54.1","+1.5","+2.85","12/05","4.35","5.77","9.92","26.4","31.2","36.7","64.2","123","348","434","2774","5946"
"77",="6805","富世達","1550","+15","+0.98","12/05","4.31","11.7","14.7","20.9","36.8","87.6","237","534","878","930","1578",""
"78",="6209","今國光","56.3","-0.7","-1.23","12/05","4.29","7.66","11.1","20.2","72.2","188","341","433","579","643","858","979"
"79",="2641","正德","21.55","-0.5","-2.27","12/05","4.22","16.2","18.2","24.8","35.9","53.4","123","190","423","429","841","1151"
"80",="6133","金橋","18.85","-0.2","-1.05","12/05","4.14","8.13","10.5","26.2","28.2","33.3","49.4","146","183","199","681","1076"
"81",="6217","中探針","51.1","+1.45","+2.92","12/05","4.05","5.36","6.61","10.5","28.6","94.6","574","867","921","925","1310","1639"
"82",="8038","長園科","44.9","-0.45","-0.99","12/05","4.04","9.83","10.8","14.1","18.8","49.4","111","340","379","386","483","890"
"83",="2337","旺宏","33.9","+1","+3.04","12/05","4","6.88","10.9","20.2","44.5","205","424","458","553","561","716","850"
"84",="3059","華晶科","42.8","-1","-2.28","12/05","3.98","5.41","5.9","6.76","10.4","21.7","169","447","823","910","1271","1482"
"85",="5351","鈺創","39.8","+1.45","+3.78","12/05","3.98","5.38","6.83","9.06","17.1","101","234","348","403","417","794","1266"
"86",="4989","榮科","40.75","+0.15","+0.37","12/05","3.98","11.5","18.1","35","104","370","718","858","866","868","920","990"
"87",="6274","台燿","420","+9","+2.19","12/05","3.76","6.31","8.71","19.1","50.4","123","347","820","1044","1093","1949","2913"
"88","00883B","中信ESG投資級債","31.37","+0.01","+0.03","12/05","3.75","8.44","10.3","13.4","27.3","63.4","179","372","698","757","1499","1984"
"89",="00964","中信亞太高股息","11.56","+0.05","+0.43","12/05","3.69","9.31","14.8","28.8","56","151","336","650","1242","1404","",""
"90",="8074","鉅橡","35.6","+0.6","+1.71","12/05","3.67","7.29","13.3","20.3","71.7","148","215","471","480","485","594","622"
"91",="5398","慕康生醫","30","+0.3","+1.01","12/05","3.65","6.88","8.89","10.8","17.5","29.4","40.5","58.3","102","120","437","459"
"92",="3236","千如","26.9","-0.65","-2.36","12/05","3.64","30.5","46","49.9","88.4","215","368","375","393","398","452","637"
"93",="5498","凱崴","25.7","-0.4","-1.53","12/05","3.63","7.79","11.9","22.5","115","272","492","1127","1144","1147","1553","1668"
"94",="5474","聰泰","169","+4","+2.42","12/05","3.61","4.88","5.41","6.12","9.85","20","72.3","195","487","603","1108","1483"
"95","00983B","大華優利美公債20","16.24","-0.02","-0.12","12/05","3.6","10.6","17.4","32.7","68.6","151","490","1134","1407","","",""
"96",="4722","國精化","155.5","-9.5","-5.76","12/05","3.6","5.44","7.76","16.8","37.4","81.9","369","625","845","847","894","916"
"97",="3211","順達","259","-2","-0.77","12/05","3.59","10.6","18","32.6","44.2","70.4","239","697","1308","1626","2188","2231"
"98",="8131","福懋科","45.25","+0.75","+1.69","12/05","3.57","10.1","19.8","23.1","30.5","74.7","98.6","105","113","115","134","153"
"99",="4977","眾達-KY","123.5","-0.5","-0.4","12/05","3.57","11.1","23.1","43.1","104","127","416","932","1688","2196","3415","4582"
"100","00665L","富邦恒生國企正2","11.32","+0.15","+1.34","12/05","3.53","9.45","15","24.1","45.9","113","371","766","1971","2141","5366","7052"
"101",="6831","邁科","241","-15","-5.86","12/05","3.53","8.57","13.2","18.9","","","","","37.5","","",""
"102",="4764","雙鍵","75.7","+4.4","+6.17","12/05","3.53","4.52","6.12","9.62","12.6","22.3","33.6","34.4","37","37.4","46.7","66.7"
"103",="2485","兆赫","22.8","-0.2","-0.87","12/05","3.48","9.54","18.7","71","126","160","184","201","231","235","347","729"
"104",="1802","台玻","36.45","+1.8","+5.19","12/05","3.46","6.7","13.9","30.4","51.8","123","229","395","441","448","521","616"
"105",="2233","宇隆","195","+3","+1.56","12/05","3.46","4.95","5.2","5.91","9.05","28.4","99.6","295","567","742","1057","1309"
"106",="00913","兆豐台灣晶圓製造","24","+0.28","+1.18","12/05","3.45","4.96","6.08","9.09","19.1","61.5","179","345","516","556","1616","2058"
"107",="3715","定穎投控","112","+0.5","+0.45","12/05","3.44","9.01","37.7","54.4","138","409","818","1625","1707","1732","2686","4702"
"108",="911868","同方友友-DR","1.35","+0.02","+1.5","12/05","3.35","4.45","4.85","6.03","7.68","11.5","21.4","47.9","72.8","76.5","229","291"
"109",="6163","華電網","43.45","-0.7","-1.59","12/05","3.29","17.3","54.6","71.8","108","223","292","318","385","397","936","1410"
"110",="3162","精確","58.5","+1.5","+2.63","12/05","3.28","4.23","5.6","6.89","13.9","123","218","346","803","823","1008","1579"
"111",="6624","萬年清","58.5","-6","-9.3","12/05","3.27","4.79","6.07","10.5","16.1","19.4","23.6","26.7","31.1","32","56.3","76.6"
"112",="8088","品安","40","+0.5","+1.27","12/05","3.26","5.65","9.61","15.1","39.3","457","1667","2114","3379","3385","4004","5267"
"113",="3105","穩懋","147.5","+3.5","+2.43","12/05","3.26","6.1","10.7","25.6","50","76.5","143","204","284","292","511","837"
"114",="8046","南電","270","+11.5","+4.45","12/05","3.22","4.98","6.76","10.1","18.5","53","225","412","465","472","590","845"
"115",="6290","良維","169.5","-1","-0.59","12/05","3.2","5.99","7.64","14.5","33.5","103","390","783","1044","1051","1893","2438"
"116",="5230","雷笛克光學","19.3","+1.05","+5.75","12/05","3.14","3.6","5.09","7.7","8.63","10.6","19.7","39.4","111","120","1351","1486"
"117","00981B","第一金優選非投債","9.34","+0.02","+0.21","12/05","3.12","4.84","8.31","11.7","20.7","40.5","110","184","212","","",""
"118",="2349","錸德","10.85","0","0","12/05","3.07","5.21","5.72","6.02","6.94","10.4","22.4","53","97.1","107","619","678"
"119",="4971","IET-KY","230","+20.5","+9.79","12/05","3.05","30","37.6","61.4","155","239","356","1309","1936","2030","2687","2802"
"120",="00643","群益深証中小","16.2","+0.05","+0.31","12/05","3.04","6.58","10.9","16.8","32.2","66.8","197","371","714","838","1557","1647"
"121",="8071","能率網通","18.25","-0.1","-0.54","12/05","3.03","5.94","6.38","6.69","8.2","15.8","201","335","616","807","1676","1806"
"122",="00728","第一金工業30","36.51","+0.41","+1.14","12/05","3.03","3.7","3.8","4.28","5.51","8.91","25.7","68.7","133","143","432","741"
"123",="6683","雍智科技","463.5","+2.5","+0.54","12/05","3.01","8.58","15","34.5","43.8","62","152","391","670","725","1240","1505"
"124",="5475","德宏","68.9","+0.1","+0.15","12/05","3.01","9.76","17.9","25.3","37.1","55.3","218","569","623","626","744","890"
"125",="5289","宜鼎","469","+17","+3.76","12/05","2.98","5.61","9.45","17.6","41.3","134","334","391","465","471","624","977"
"126",="3628","盈正","82","+2","+2.5","12/05","2.97","5.65","18.5","22.8","31.8","85","300","314","326","333","436","552"
"127",="00896","中信綠能及電動車","19.54","+0.01","+0.05","12/05","2.96","6.97","9.25","11.5","13.4","19.2","47.3","74","111","118","256","436"
"128",="3653","健策","3060","+275","+9.87","12/05","2.96","3.41","4.07","6.54","13","35.9","82.8","154","252","261","462","716"
"129",="8027","鈦昇","101.5","-3","-2.87","12/05","2.96","8.23","12.9","28","36.9","49.1","99.6","160","244","260","1092","1354"
"130",="00875","國泰網路資安","40.07","+0.4","+1.01","12/05","2.96","3.22","3.41","4.31","6.24","11.8","54","138","253","266","595","957"
"131",="1536","和大","58.5","+0.2","+0.34","12/05","2.93","4.2","4.39","4.85","6.7","13.3","45.5","158","674","734","1173","1250"
"132","00981A","主動統一台股增長","15.98","+0.26","+1.65","12/05","2.91","6.44","9.81","24.6","43.2","91.9","204","324","333","","",""
"133","00650L","復華香港正2","17.98","+0.19","+1.07","12/05","2.87","7.3","11.7","19.6","39.4","116","367","794","2184","2380","7177","8890"
"134",="6919","康霈*","167.5","-15.5","-8.47","12/05","2.86","4.56","5.09","6.03","11","19","66.4","128","138","139","",""
"135","00984B","大華優利美A債15","16.84","+0.02","+0.12","12/05","2.85","9.18","12.3","24.9","52.7","121","380","901","1189","","",""
"136",="4543","萬在","29.55","+1.15","+4.05","12/05","2.81","3.66","6.08","16","19.1","21.8","29.2","39.3","63.1","68.8","1038","1982"
"137",="3491","昇達科","529","+5","+0.95","12/05","2.81","5.34","6.91","12.1","31","69","191","406","913","971","1582","2319"
"138",="5309","系統電","61.8","+0.7","+1.15","12/05","2.8","6.29","11.3","34.6","57.3","86.7","630","1161","1421","1516","2187","2491"
"139",="3441","聯一光","38","-1","-2.56","12/05","2.8","7.45","9.72","17.5","34.2","37.3","44.1","71.6","125","161","370","965"
"140",="2493","揚博","105","+9.4","+9.83","12/05","2.76","3.09","3.41","4","5.45","13.7","54.6","136","158","166","308","378"
"141","00637L","元大滬深300正2","19.91","+0.14","+0.71","12/05","2.75","6.59","10.1","16.3","38.2","84.1","249","507","1129","1264","3010","4311"
"142",="6588","東典光電","37.85","-0.75","-1.94","12/05","2.75","5.84","21.1","28.9","31.6","32.3","37.1","48.5","86.2","114","187","207"
"143",="2486","一詮","96.9","+3","+3.19","12/05","2.73","4.88","7.82","23.2","61","161","241","341","622","727","3172","4005"
"144",="6425","易發","80.8","0","0","12/05","2.72","5.49","9.43","15.6","44.8","59","161","283","397","489","2052","2080"
"145",="3231","緯創","151","+5","+3.42","12/05","2.72","3.67","4.98","7.14","12.4","33","114","190","290","304","737","1377"
"146","00673R","期元大S&P原油反1","27.75","-0.09","-0.32","12/05","2.71","5.35","10.2","15.6","24","77","685","2756","5404","5717","11801","20875"
"147",="3260","威剛","177","+1","+0.57","12/05","2.7","5.85","9.69","13.9","30.2","109","379","513","676","687","1225","1793"
"148",="2637","慧洋-KY","68.1","-5.5","-7.47","12/05","2.68","8.15","9.36","13.8","19.9","27.5","54.9","93.4","262","283","488","704"
"149",="00657","國泰日經225","59.3","-0.4","-0.67","12/05","2.68","2.87","4","9.67","24.1","104","228","326","606","634","1803","3012"
"150",="2375","凱美","95.1","+1.1","+1.17","12/05","2.64","8.67","15.8","20.7","48.9","231","812","830","913","961","1161","1374"
"151",="2464","盟立","61.1","+0.3","+0.49","12/05","2.62","5.25","5.49","6.14","7.82","18","83.5","241","449","584","2165","2245"
"152",="1587","吉茂","43.8","-2.5","-5.4","12/05","2.62","9.11","11.3","12.8","25.7","38","121","139","176","194","1032","1098"
"153",="6770","力積電","32.9","+0.6","+1.86","12/05","2.61","5.04","7.98","17","40.1","147","367","400","456","464","579","660"
