日期,證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1150226","0050","元大台灣50","133517321","10841079880","81.25","81.50","80.80","81.15","0.0500","133768"
"1150226","0051","元大中型100","93613","10570397","112.05","113.85","111.25","113.75","1.6500","504"
"1150226","0052","富邦科技","62412762","3019697480","48.50","48.58","48.10","48.42","0.0400","40310"
"1150226","0053","元大電子","23896","4279766","180.05","180.50","178.00","179.40","0.0000","250"
"1150226","0055","元大MSCI金融","437262","15081679","34.01","34.81","34.01","34.78","0.7800","631"
"1150226","0056","元大高股息","58492851","2350046324","40.05","40.36","39.95","40.29","0.2400","30081"
"1150226","0057","富邦摩台","6198","1479118","238.80","239.70","238.15","239.70","0.9000","124"
"1150226","0061","元大寶滬深","270835","6449076","23.82","23.95","23.74","23.81","-0.0600","227"
"1150226","006203","元大MSCI台灣","22154","3241561","146.70","147.35","145.55","146.30","-0.4000","115"
"1150226","006204","永豐臺灣加權","4309","780765","181.05","181.65","181.05","181.65","0.9500","127"
"1150226","006205","富邦上証","427169","17623611","41.66","41.66","41.06","41.26","-0.2000","293"
"1150226","006206","元大上證50","81277","3065613","37.99","38.10","37.51","37.66","-0.3200","293"
"1150226","006207","復華滬深","168233","5360784","31.94","32.00","31.75","31.87","-0.0700","140"
"1150226","006208","富邦台50","4278281","804149091","187.80","188.95","187.05","188.00","0.2500","11846"
"1150226","00625K","富邦上証+R","","","","","","","0.0000",""
"1150226","00631L","元大台灣50正2","4570614","2449001632","534.95","541.50","529.00","537.85","3.9500","12871"
"1150226","00632R","元大台灣50反1","58617623","787211150","13.47","13.52","13.36","13.41","-0.0300","8009"
"1150226","00633L","富邦上証正2","5476898","252749892","47.04","47.20","45.63","45.90","-1.3200","1689"
"1150226","00634R","富邦上証反1","106000","349270","3.26","3.30","3.26","3.29","0.0300","9"
"1150226","00635U","期元大S&P黃金","5947329","326483652","55.00","55.00","54.75","55.00","0.0500","4506"
"1150226","00636","國泰中國A50","7733294","203754088","26.67","26.75","26.30","26.35","-0.3200","834"
"1150226","00636K","國泰中國A50+U","200","1700","8.50","8.50","8.50","8.50","-0.1100","2"
"1150226","00637L","元大滬深300正2","71058957","1345560404","19.34","19.36","18.70","18.75","-0.6100","9184"
"1150226","00638R","元大滬深300反1","134000","946740","7.03","7.10","7.03","7.10","0.1300","28"
"1150226","00639","富邦深100","948173","14879465","15.67","15.73","15.61","15.70","0.0200","303"
"1150226","00640L","富邦日本正2","650750","64997948","99.75","100.30","99.35","99.45","0.9500","413"
"1150226","00641R","富邦日本反1","1218734","4864760","4.00","4.00","3.98","4.00","-0.0200","96"
"1150226","00642U","期元大S&P石油","2120022","36674315","17.34","17.34","17.24","17.29","-0.1300","699"
"1150226","00643","群益深証中小","3470468","63991125","18.38","18.50","18.28","18.47","0.1500","334"
